id,model_name,layer,column_name,expression,origin_table,origin_column,transformation_type,transformation_chain,transformation_chain_plain,description
CL0172,dim_vendor,marts,vendor_region,"CASE
        WHEN g.country_code = 'HR' THEN 'Domestic'
        WHEN g.country_code IN ('SI', 'AT', 'HU', 'RS', 'BA', 'ME', 'MK') THEN 'Regional (SEE)'
        WHEN g.country_code IN ('DE', 'FR', 'FI', 'IT', 'ES', 'NL', 'BE') THEN 'EU'
        WHEN g.country_code IN ('US', 'CA', 'GB') THEN 'International (West)'
        WHEN g.country_code IN ('CN', 'JP', 'KR', 'TW') THEN 'International (Asia)'
        ELSE 'Other'
    END",sat_vendor_general,country_code,case_when,,,
CL0173,dim_vendor,marts,first_seen_date,h.load_date,hub_vendor,load_date,direct,,,
CL0174,dim_vendor,marts,record_source,h.record_source,hub_vendor,record_source,direct,,,
CL0175,fact_contribution_margin_by_segment,marts,billing_month,"DATE_TRUNC('month', CAST(sbd.billing_date AS DATE))",sat_billing_document,billing_date,date_calc,"DATE_TRUNC('month', CAST(sbd.billing_date AS DATE))",Month of the billing date,
CL0176,fact_contribution_margin_by_segment,marts,service_plan,"COALESCE(service_plan, 'unknown')",sat_sales_order_item,service_plan_group,coalesce,"CASE ssi.service_plan_group
            WHEN 'SVC-FIB' THEN 'fiber'
            WHEN 'SVC-TV'  THEN 'TV'
            WHEN 'SVC-CBL' THEN 'cable'
            WHEN 'SVC-BIZ' THEN 'business'
            ELSE 'unknown'
        END;COALESCE(service_plan, 'unknown')",Map service group codes to plan names;Default to unknown if plan missing,
CL0177,fact_contribution_margin_by_segment,marts,tenure_band,"CASE
            WHEN tenure_months IS NULL THEN 'unknown'
            WHEN tenure_months <  12   THEN '0-12'
            WHEN tenure_months <  24   THEN '12-24'
            WHEN tenure_months <  48   THEN '24-48'
            ELSE '48+'
        END",sat_billing_document,billing_date,case_when,"MIN(CAST(sbd.billing_date AS DATE));DATEDIFF('month', ta.first_billing_date, b.billing_month);CASE
            WHEN tenure_months IS NULL THEN 'unknown'
            WHEN tenure_months <  12   THEN '0-12'
            WHEN tenure_months <  24   THEN '12-24'
            WHEN tenure_months <  48   THEN '24-48'
            ELSE '48+'
        END",Customer's earliest billing date;Months since first billing;Group customers by tenure length,
CL0178,fact_contribution_margin_by_segment,marts,total_billed_revenue_eur,SUM(line_revenue_eur),sat_billing_document,revenue_amount,aggregation,CAST(sbd.revenue_amount AS NUMERIC);SUM(line_revenue_eur),Convert revenue amount to number;Total billed revenue in euros,
CL0179,fact_contribution_margin_by_segment,marts,total_amortized_device_cost_eur,SUM(charged_amort_cost_eur),sat_po_item,unit_price,aggregation,"AVG(CAST(spi.unit_price AS NUMERIC)) / 24.0;CASE
            WHEN deployment_date IS NOT NULL
             AND billing_month >= deployment_date
             AND billing_month <  (deployment_date + INTERVAL '24 months')
            THEN COALESCE(monthly_amort_cost_eur, 0)
            ELSE 0
        END;SUM(charged_amort_cost_eur)",Monthly device cost spread over 2 years;Active contract amortized cost this billing month;Total amortized device cost across all segments,
CL0180,fact_contribution_margin_by_segment,marts,contribution_margin_eur,SUM(line_revenue_eur) - SUM(charged_amort_cost_eur),sat_billing_document,revenue_amount,aggregation,CAST(sbd.revenue_amount AS NUMERIC);SUM(line_revenue_eur) - SUM(charged_amort_cost_eur),Revenue amount converted to number;Total revenue minus total amortized costs,
CL0181,fact_contribution_margin_by_segment,marts,distinct_customers,COUNT(DISTINCT customer_id),sat_billing_document,payer_id,aggregation,,,
CL0182,fact_contribution_margin_by_segment,marts,billing_doc_count,COUNT(DISTINCT hk_billing_doc),sat_billing_document,hk_billing_doc,aggregation,,,
CL0183,fact_equipment_lifecycle,marts,hk_equipment,sh.hk_equipment,sat_equipment_status,hk_equipment,direct,,,
CL0184,fact_equipment_lifecycle,marts,equipment_number,he.equipment_number,hub_equipment,equipment_number,direct,,,
CL0185,fact_equipment_lifecycle,marts,serial_number,eg.serial_number,sat_equipment_general,serial_number,direct,,,
CL0186,fact_equipment_lifecycle,marts,manufacturer,eg.manufacturer,sat_equipment_general,manufacturer,direct,,,
CL0187,fact_equipment_lifecycle,marts,model_description,eg.model_description,sat_equipment_general,model_description,direct,,,
CL0188,fact_equipment_lifecycle,marts,plant,eg.plant,sat_equipment_general,plant,direct,,,
CL0189,fact_equipment_lifecycle,marts,material_number,lem.material_number,link_equipment_material,material_number,direct,,,
CL0190,fact_equipment_lifecycle,marts,status_code,sh.status_code,sat_equipment_status,status_code,direct,,,
CL0191,fact_equipment_lifecycle,marts,status_description,sh.status_description,sat_equipment_status,status_description,direct,,,
CL0192,fact_equipment_lifecycle,marts,status_from_date,sh.status_from_date,sat_equipment_status,status_from_date,direct,,,
CL0193,fact_equipment_lifecycle,marts,status_to_date,"LEAD(status_from_date) OVER (
            PARTITION BY hk_equipment ORDER BY status_from_date
        )",sat_equipment_status,status_from_date,window_function,"LEAD(status_from_date) OVER (
            PARTITION BY hk_equipment ORDER BY status_from_date
        )",Next status start date for same equipment,
CL0194,fact_equipment_lifecycle,marts,status_sequence,"ROW_NUMBER() OVER (
            PARTITION BY hk_equipment ORDER BY status_from_date
        )",sat_equipment_status,hk_equipment,window_function,"ROW_NUMBER() OVER (
            PARTITION BY hk_equipment ORDER BY status_from_date
        )",Order of status changes per equipment,
CL0195,fact_equipment_lifecycle,marts,lifecycle_status,"CASE
        WHEN sh.status_code = 'INST' THEN 'deployed'
        WHEN sh.status_code = 'AVLB' THEN 'in_stock'
        WHEN sh.status_code = 'RET' THEN 'returned'
        WHEN sh.status_code = 'DLFL' THEN 'defective'
        ELSE 'unknown'
    END",sat_equipment_status,status_code,case_when,,,
CL0196,fact_equipment_lifecycle,marts,days_in_status,"CASE WHEN sh.status_to_date IS NOT NULL
        THEN CAST(sh.status_to_date - sh.status_from_date AS INTEGER)
        ELSE CAST(CURRENT_DATE - sh.status_from_date AS INTEGER)
    END",sat_equipment_status,status_from_date,case_when,"LEAD(status_from_date) OVER (
            PARTITION BY hk_equipment ORDER BY status_from_date
        );CASE WHEN sh.status_to_date IS NOT NULL
        THEN CAST(sh.status_to_date - sh.status_from_date AS INTEGER)
        ELSE CAST(CURRENT_DATE - sh.status_from_date AS INTEGER)
    END",Next status start date per equipment;Days equipment spent in current status,
CL0197,fact_equipment_lifecycle,marts,is_current_status,sh.reverse_sequence = 1,sat_equipment_status,hk_equipment,derived,"ROW_NUMBER() OVER (
            PARTITION BY hk_equipment ORDER BY status_from_date DESC
        );sh.reverse_sequence = 1",Rank equipment records by most recent status;Keep only the latest status record,
CL0198,fact_equipment_lifecycle,marts,days_receipt_to_deployment,"CASE WHEN sh.status_code = 'INST'
        THEN CAST(sh.status_from_date - eg.created_date AS INTEGER)
        ELSE NULL
    END",sat_equipment_status,status_code,case_when,,,
CL0199,fact_equipment_lifecycle,marts,record_source,eg.record_source,sat_equipment_general,record_source,direct,,,
CL0200,fact_goods_movements,marts,hk_gr_material,gri.hk_gr_material,sat_gr_item,hk_gr_material,direct,,,
CL0201,fact_goods_movements,marts,hk_material_document,hmd.hk_material_document,hub_material_document,hk_material_document,direct,,,
CL0202,fact_goods_movements,marts,hk_material,lgm.hk_material,link_gr_material,hk_material,direct,,,
CL0203,fact_goods_movements,marts,material_document_number,hmd.material_document_number,hub_material_document,material_document_number,direct,,,
CL0204,fact_goods_movements,marts,fiscal_year,hmd.fiscal_year,hub_material_document,fiscal_year,direct,,,
CL0205,fact_goods_movements,marts,document_item,gri.document_item,sat_gr_item,document_item,direct,,,
CL0206,fact_goods_movements,marts,material_number,lgm.material_number,link_gr_material,material_number,direct,,,
CL0207,fact_goods_movements,marts,posting_date,grh.posting_date,sat_gr_header,posting_date,direct,,,
CL0208,fact_goods_movements,marts,document_date,grh.document_date,sat_gr_header,document_date,direct,,,
CL0209,fact_goods_movements,marts,posted_by,grh.posted_by,sat_gr_header,posted_by,direct,,,
CL0210,fact_goods_movements,marts,header_text,grh.header_text,sat_gr_header,header_text,direct,,,
CL0211,fact_goods_movements,marts,reference_document,grh.reference_document,sat_gr_header,reference_document,direct,,,
CL0212,fact_goods_movements,marts,movement_type,gri.movement_type,sat_gr_item,movement_type,direct,,,
CL0213,fact_goods_movements,marts,plant,gri.plant,sat_gr_item,plant,direct,,,
CL0214,fact_goods_movements,marts,storage_location,gri.storage_location,sat_gr_item,storage_location,direct,,,
CL0215,fact_goods_movements,marts,quantity,gri.quantity,sat_gr_item,quantity,direct,,,
CL0216,fact_goods_movements,marts,unit_of_measure,gri.unit_of_measure,sat_gr_item,unit_of_measure,direct,,,
CL0217,fact_goods_movements,marts,amount_local_currency,gri.amount_local_currency,sat_gr_item,amount_local_currency,direct,,,
CL0218,fact_goods_movements,marts,currency,gri.currency,sat_gr_item,currency,direct,,,
CL0219,fact_goods_movements,marts,purchase_order_number,gri.purchase_order_number,sat_gr_item,purchase_order_number,direct,,,
CL0220,fact_goods_movements,marts,po_item_number,gri.po_item_number,sat_gr_item,po_item_number,direct,,,
CL0221,fact_goods_movements,marts,vendor_id,gri.vendor_id,sat_gr_item,vendor_id,direct,,,
CL0222,fact_goods_movements,marts,movement_category,"CASE
        WHEN gri.movement_type = '101' THEN 'goods_receipt'
        WHEN gri.movement_type = '102' THEN 'gr_reversal'
        WHEN gri.movement_type = '122' THEN 'vendor_return'
        WHEN gri.movement_type = '161' THEN 'customer_return'
        WHEN gri.movement_type = '201' THEN 'deployment'
        WHEN gri.movement_type = '202' THEN 'gi_reversal'
        WHEN gri.movement_type = '301' THEN 'plant_transfer'
        WHEN gri.movement_type = '561' THEN 'initial_stock'
        ELSE 'other'
    END",sat_gr_item,movement_type,case_when,,,
CL0223,fact_goods_movements,marts,movement_direction,"CASE
        WHEN gri.movement_type IN ('101', '161', '202', '561') THEN 'inbound'
        WHEN gri.movement_type IN ('102', '122', '201') THEN 'outbound'
        WHEN gri.movement_type = '301' THEN 'transfer'
        ELSE 'unknown'
    END",sat_gr_item,movement_type,case_when,,,
CL0224,fact_goods_movements,marts,signed_quantity,"CASE
        WHEN gri.movement_type IN ('101', '161', '202', '561') THEN gri.quantity
        WHEN gri.movement_type IN ('102', '122', '201') THEN -1 * gri.quantity
        ELSE 0
    END",sat_gr_item,movement_type,case_when,,,
CL0225,fact_goods_movements,marts,has_po_reference,"CASE WHEN gri.purchase_order_number IS NOT NULL AND gri.purchase_order_number != ''
        THEN TRUE ELSE FALSE
    END",sat_gr_item,purchase_order_number,case_when,,,
CL0226,fact_goods_movements,marts,record_source,grh.record_source,sat_gr_header,record_source,direct,,,
CL0227,fact_goods_receipt_accuracy,marts,vendor_id,vendor_id,sat_gr_item,vendor_id,direct,,,
CL0228,fact_goods_receipt_accuracy,marts,quarter,"DATE_TRUNC('quarter', grh.posting_date)",sat_gr_header,posting_date,date_calc,"DATE_TRUNC('quarter', grh.posting_date)",Fiscal quarter start date from posting date,
CL0229,fact_goods_receipt_accuracy,marts,total_receipts,COUNT(*),,,aggregation,,,
CL0230,fact_goods_receipt_accuracy,marts,accurate_receipts,SUM(is_accurate),sat_gr_item,quantity,aggregation,CASE WHEN gri.quantity = pi.ordered_quantity THEN 1 ELSE 0 END;SUM(is_accurate),Flag if received quantity matches order;Total accurate receipts received,
CL0231,fact_goods_receipt_accuracy,marts,accuracy_percentage,"ROUND(AVG(is_accurate) * 100, 2)",sat_gr_item,quantity,aggregation,"CASE WHEN gri.quantity = pi.ordered_quantity THEN 1 ELSE 0 END;ROUND(AVG(is_accurate) * 100, 2)",Flag if received quantity matches order;Average accuracy rate as percentage,
CL0232,fact_goods_receipt_accuracy,marts,first_receipt_date,MIN(posting_date),sat_gr_header,posting_date,aggregation,,,
CL0233,fact_goods_receipt_accuracy,marts,last_receipt_date,MAX(posting_date),sat_gr_header,posting_date,aggregation,,,
CL0234,fact_goods_receipts_monthly,marts,receipt_month,"DATE_TRUNC('month', grh.posting_date)",sat_gr_header,posting_date,date_calc,,,
CL0235,fact_goods_receipts_monthly,marts,receipt_line_count,COUNT(*),,,aggregation,,,
CL0236,fact_goods_receipts_monthly,marts,distinct_documents,COUNT(DISTINCT lgm.material_document_number),link_gr_material,material_document_number,aggregation,,,
CL0237,fact_goods_receipts_monthly,marts,distinct_vendors,COUNT(DISTINCT gri.vendor_id),sat_gr_item,vendor_id,aggregation,,,
CL0238,fact_goods_receipts_monthly,marts,distinct_materials,COUNT(DISTINCT lgm.material_number),link_gr_material,material_number,aggregation,,,
CL0239,fact_inventory,marts,hk_stock_location,sl.hk_stock_location,sat_stock_level,hk_stock_location,direct,,,
CL0240,fact_inventory,marts,hk_material,sl.hk_material,sat_stock_level,hk_material,direct,,,
CL0241,fact_inventory,marts,hk_plant,sl.hk_plant,sat_stock_level,hk_plant,direct,,,
CL0242,fact_inventory,marts,material_number,hm.material_number,hub_material,material_number,direct,,,
CL0243,fact_inventory,marts,plant_code,hp.plant_code,hub_plant,plant_code,direct,,,
CL0244,fact_inventory,marts,storage_location,sl.storage_location,sat_stock_level,storage_location,direct,,,
CL0245,fact_inventory,marts,unrestricted_stock,sl.unrestricted_stock,sat_stock_level,unrestricted_stock,direct,,,
CL0246,fact_inventory,marts,quality_inspection_stock,sl.quality_inspection_stock,sat_stock_level,quality_inspection_stock,direct,,,
CL0247,fact_inventory,marts,blocked_stock,sl.blocked_stock,sat_stock_level,blocked_stock,direct,,,
CL0248,fact_inventory,marts,total_stock,"CAST(sl.unrestricted_stock + sl.quality_inspection_stock + sl.blocked_stock AS DECIMAL(13, 3))",sat_stock_level,unrestricted_stock,type_cast,,,
CL0249,fact_inventory,marts,is_zero_stock,CASE WHEN sl.unrestricted_stock <= 0 THEN TRUE ELSE FALSE END,sat_stock_level,unrestricted_stock,case_when,,,
CL0250,fact_inventory,marts,has_blocked_stock,CASE WHEN sl.blocked_stock > 0 THEN TRUE ELSE FALSE END,sat_stock_level,blocked_stock,case_when,,,
CL0251,fact_inventory,marts,has_qi_stock,CASE WHEN sl.quality_inspection_stock > 0 THEN TRUE ELSE FALSE END,sat_stock_level,quality_inspection_stock,case_when,,,
CL0252,fact_inventory,marts,record_source,sl.record_source,sat_stock_level,record_source,direct,,,
CL0253,fact_invoices,marts,hk_invoice,hi.hk_invoice,hub_invoice,hk_invoice,direct,,,
CL0254,fact_invoices,marts,hk_purchase_order,lip.hk_purchase_order,link_invoice_po,hk_purchase_order,direct,,,
CL0255,fact_invoices,marts,invoice_number,hi.invoice_number,hub_invoice,invoice_number,direct,,,
CL0256,fact_invoices,marts,fiscal_year,hi.fiscal_year,hub_invoice,fiscal_year,direct,,,
CL0257,fact_invoices,marts,vendor_id,ih.vendor_id,sat_invoice_header,vendor_id,direct,,,
CL0258,fact_invoices,marts,purchase_order_number,lip.purchase_order_number,link_invoice_po,purchase_order_number,direct,,,
CL0259,fact_invoices,marts,invoice_date,ih.invoice_date,sat_invoice_header,invoice_date,direct,,,
CL0260,fact_invoices,marts,posting_date,ih.posting_date,sat_invoice_header,posting_date,direct,,,
CL0261,fact_invoices,marts,currency,ih.currency,sat_invoice_header,currency,direct,,,
CL0262,fact_invoices,marts,invoice_total_amount,ih.invoice_total_amount,sat_invoice_header,invoice_total_amount,direct,,,
CL0263,fact_invoices,marts,vendor_invoice_reference,ih.vendor_invoice_reference,sat_invoice_header,vendor_invoice_reference,direct,,,
CL0264,fact_invoices,marts,posted_by,ih.posted_by,sat_invoice_header,posted_by,direct,,,
CL0265,fact_invoices,marts,days_po_to_invoice,"CASE WHEN ih.invoice_date IS NOT NULL AND ph.po_date IS NOT NULL
        THEN CAST(ih.invoice_date - ph.po_date AS INTEGER)
        ELSE NULL
    END",sat_invoice_header,invoice_date,case_when,,,
CL0266,fact_invoices,marts,record_source,ih.record_source,sat_invoice_header,record_source,direct,,,
CL0267,fact_po_invoice_match_variance,marts,vendor_id,tw.vendor_id,link_po_vendor,vendor_id,direct,,,Vendor account number (EKKO.LIFNR).
CL0268,fact_po_invoice_match_variance,marts,month,"DATE_TRUNC('month', ph.po_date)",sat_po_header,po_date,date_calc,"DATE_TRUNC('month', ph.po_date)",Purchase Order Month Period,PO creation month (DATE_TRUNC of BEDAT).
CL0269,fact_po_invoice_match_variance,marts,total_po_lines,COUNT(*),,,aggregation,,,Count of PO lines joined vendor x month.
CL0270,fact_po_invoice_match_variance,marts,matched_pct,"ROUND(100.0 * SUM(tw.matched_flag) / COUNT(*), 2)",100,0,aggregation,,,Percentage of PO lines where PO/GR/invoice qty match within 5%.
CL0271,fact_po_invoice_match_variance,marts,exception_count,"COALESCE(SUM(ex.exception_count), 0)",sat_zmm_approval,exception_count,coalesce,,,Count of ZMM_APPROVAL_LOG records for these POs.
CL0272,fact_po_invoice_match_variance,marts,approved_exception_count,"COALESCE(SUM(ex.approved_exception_count), 0)",sat_zmm_approval,approval_status,coalesce,"SUM(CASE WHEN za.approval_status = '02' THEN 1 ELSE 0 END);COALESCE(SUM(ex.approved_exception_count), 0)","Count approved exceptions per record;Total approved exceptions, zero if none",Subset of exception_count with APPR_STATUS='02'.
CL0273,fact_po_invoice_match_variance,marts,open_exception_count,"COALESCE(SUM(ex.exception_count - ex.approved_exception_count), 0)",sat_zmm_approval,exception_count,coalesce,,,Exceptions not yet approved (exception_count - approved_exception_count).
CL0274,fact_purchase_orders,marts,hk_po_material,pm.hk_po_material,link_po_material,hk_po_material,direct,,,
CL0275,fact_purchase_orders,marts,hk_purchase_order,pm.hk_purchase_order,link_po_material,hk_purchase_order,direct,,,
CL0276,fact_purchase_orders,marts,hk_material,pm.hk_material,link_po_material,hk_material,direct,,,
CL0277,fact_purchase_orders,marts,hk_vendor,pv.hk_vendor,link_po_vendor,hk_vendor,direct,,,
CL0278,fact_purchase_orders,marts,purchase_order_number,pm.purchase_order_number,link_po_material,purchase_order_number,direct,,,
CL0279,fact_purchase_orders,marts,po_item_number,pm.po_item_number,link_po_material,po_item_number,direct,,,
CL0280,fact_purchase_orders,marts,material_number,pm.material_number,link_po_material,material_number,direct,,,
CL0281,fact_purchase_orders,marts,vendor_id,pv.vendor_id,link_po_vendor,vendor_id,direct,,,
CL0282,fact_purchase_orders,marts,po_date,ph.po_date,sat_po_header,po_date,direct,,,
CL0283,fact_purchase_orders,marts,document_type,ph.document_type,sat_po_header,document_type,direct,,,
CL0284,fact_purchase_orders,marts,purchasing_organization,ph.purchasing_organization,sat_po_header,purchasing_organization,direct,,,
CL0285,fact_purchase_orders,marts,purchasing_group,ph.purchasing_group,sat_po_header,purchasing_group,direct,,,
CL0286,fact_purchase_orders,marts,currency,ph.currency,sat_po_header,currency,direct,,,
CL0287,fact_purchase_orders,marts,total_po_value,ph.total_po_value,sat_po_header,total_po_value,direct,,,
CL0288,fact_purchase_orders,marts,processing_status,ph.processing_status,sat_po_header,processing_status,direct,,,
CL0289,fact_purchase_orders,marts,created_by,ph.created_by,sat_po_header,created_by,direct,,,
CL0290,fact_purchase_orders,marts,item_short_text,pi.item_short_text,sat_po_item,item_short_text,direct,,,
CL0291,fact_purchase_orders,marts,ordered_quantity,pi.ordered_quantity,sat_po_item,ordered_quantity,direct,,,
CL0292,fact_purchase_orders,marts,unit_of_measure,pi.unit_of_measure,sat_po_item,unit_of_measure,direct,,,
CL0293,fact_purchase_orders,marts,unit_price,pi.unit_price,sat_po_item,unit_price,direct,,,
CL0294,fact_purchase_orders,marts,net_value,pi.net_value,sat_po_item,net_value,direct,,,
CL0295,fact_purchase_orders,marts,material_group,pi.material_group,sat_po_item,material_group,direct,,,
CL0296,fact_purchase_orders,marts,item_category,pi.item_category,sat_po_item,item_category,direct,,,
CL0297,fact_purchase_orders,marts,plant,pi.plant,sat_po_item,plant,direct,,,
CL0298,fact_purchase_orders,marts,storage_location,pi.storage_location,sat_po_item,storage_location,direct,,,
CL0299,fact_purchase_orders,marts,scheduled_delivery_date,ps.scheduled_delivery_date,sat_po_schedule,scheduled_delivery_date,direct,,,
CL0300,fact_purchase_orders,marts,scheduled_quantity,ps.scheduled_quantity,sat_po_schedule,scheduled_quantity,direct,,,
CL0301,fact_purchase_orders,marts,schedule_gr_quantity,ps.goods_received_quantity,sat_po_schedule,goods_received_quantity,direct,,,
CL0302,fact_purchase_orders,marts,gl_account,pa.gl_account,sat_po_account,gl_account,direct,,,
CL0303,fact_purchase_orders,marts,cost_center,pa.cost_center,sat_po_account,cost_center,direct,,,
CL0304,fact_purchase_orders,marts,first_gr_date,MIN(grh.posting_date),sat_gr_header,posting_date,aggregation,MIN(grh.posting_date),Earliest goods receipt date from vendor,
CL0305,fact_purchase_orders,marts,pr_date,prd.requisition_date,sat_pr_detail,requisition_date,direct,,,
CL0306,fact_purchase_orders,marts,lead_time_days,"CASE WHEN fgr.first_gr_date IS NOT NULL AND ph.po_date IS NOT NULL
        THEN CAST(fgr.first_gr_date - ph.po_date AS INTEGER)
        ELSE NULL
    END",sat_gr_header,posting_date,case_when,"MIN(grh.posting_date);CASE WHEN fgr.first_gr_date IS NOT NULL AND ph.po_date IS NOT NULL
        THEN CAST(fgr.first_gr_date - ph.po_date AS INTEGER)
        ELSE NULL
    END",Earliest goods receipt date;Days between order and first delivery,
CL0307,fact_purchase_orders,marts,is_on_time,"CASE
        WHEN fgr.first_gr_date IS NOT NULL AND ps.scheduled_delivery_date IS NOT NULL
        THEN CASE WHEN fgr.first_gr_date <= ps.scheduled_delivery_date + INTERVAL 2 DAY
                  THEN TRUE ELSE FALSE END
        ELSE NULL
    END",sat_gr_header,posting_date,case_when,"MIN(grh.posting_date);CASE
        WHEN fgr.first_gr_date IS NOT NULL AND ps.scheduled_delivery_date IS NOT NULL
        THEN CASE WHEN fgr.first_gr_date <= ps.scheduled_delivery_date + INTERVAL 2 DAY
                  THEN TRUE ELSE FALSE END
        ELSE NULL
    END",Earliest goods receipt date;Delivery arrived within scheduled window,
CL0308,fact_purchase_orders,marts,po_cycle_days,"CASE WHEN prd.requisition_date IS NOT NULL AND ph.po_date IS NOT NULL
        THEN CAST(ph.po_date - prd.requisition_date AS INTEGER)
        ELSE NULL
    END",sat_pr_detail,requisition_date,case_when,,,
CL0309,fact_purchase_orders,marts,delivery_status,"CASE
        WHEN fgr.first_gr_date IS NULL THEN 'pending'
        WHEN gr_totals.total_gr_quantity >= pi.ordered_quantity THEN 'fully_received'
        WHEN gr_totals.total_gr_quantity > 0 THEN 'partially_received'
        ELSE 'pending'
    END",sat_gr_header,posting_date,case_when,"MIN(grh.posting_date);CASE
        WHEN fgr.first_gr_date IS NULL THEN 'pending'
        WHEN gr_totals.total_gr_quantity >= pi.ordered_quantity THEN 'fully_received'
        WHEN gr_totals.total_gr_quantity > 0 THEN 'partially_received'
        ELSE 'pending'
    END",Earliest goods receipt date;Assign delivery completion status based on quantity,
CL0310,fact_purchase_orders,marts,received_quantity,"COALESCE(gr_totals.total_gr_quantity, 0)",sat_gr_item,quantity,coalesce,"SUM(CASE WHEN movement_type = '101' THEN quantity ELSE 0 END);COALESCE(gr_totals.total_gr_quantity, 0)",Total goods received from delivery movements;Default to zero if no delivery recorded,
CL0311,fact_purchase_orders,marts,reversed_quantity,"COALESCE(gr_totals.total_gr_reversal_quantity, 0)",sat_gr_item,quantity,coalesce,"SUM(CASE WHEN movement_type = '102' THEN quantity ELSE 0 END);COALESCE(gr_totals.total_gr_reversal_quantity, 0)",Total reversed goods receipt quantity;Reversed quantity with zero if missing,
CL0312,fact_purchase_orders,marts,received_value,"COALESCE(gr_totals.total_gr_quantity, 0) * pi.unit_price",sat_gr_item,quantity,coalesce,"SUM(CASE WHEN movement_type = '101' THEN quantity ELSE 0 END);COALESCE(gr_totals.total_gr_quantity, 0) * pi.unit_price",Total quantity received via goods receipt;Received goods value at unit price,
CL0313,fact_purchase_orders,marts,record_source,ph.record_source,sat_po_header,record_source,direct,,,
CL0314,obt_cpe_contribution_margin_by_segment,obt,billing_month,cm.billing_month,fact_contribution_margin_by_segment,billing_month,direct,,,
CL0315,obt_cpe_contribution_margin_by_segment,obt,billing_year,EXTRACT(YEAR  FROM cm.billing_month),fact_contribution_margin_by_segment,billing_month,date_calc,,,
CL0316,obt_cpe_contribution_margin_by_segment,obt,billing_month_num,EXTRACT(MONTH FROM cm.billing_month),fact_contribution_margin_by_segment,billing_month,date_calc,,,
CL0317,obt_cpe_contribution_margin_by_segment,obt,service_plan,cm.service_plan,fact_contribution_margin_by_segment,service_plan,direct,,,
CL0318,obt_cpe_contribution_margin_by_segment,obt,tenure_band,cm.tenure_band,fact_contribution_margin_by_segment,tenure_band,direct,,,
CL0319,obt_cpe_contribution_margin_by_segment,obt,total_billed_revenue_eur,cm.total_billed_revenue_eur,fact_contribution_margin_by_segment,total_billed_revenue_eur,direct,,,
CL0320,obt_cpe_contribution_margin_by_segment,obt,total_amortized_device_cost_eur,cm.total_amortized_device_cost_eur,fact_contribution_margin_by_segment,total_amortized_device_cost_eur,direct,,,
CL0321,obt_cpe_contribution_margin_by_segment,obt,contribution_margin_eur,cm.contribution_margin_eur,fact_contribution_margin_by_segment,contribution_margin_eur,direct,,,
CL0322,obt_cpe_contribution_margin_by_segment,obt,is_margin_positive,"CASE
        WHEN cm.contribution_margin_eur >= 0 THEN TRUE
        ELSE FALSE
    END",fact_contribution_margin_by_segment,contribution_margin_eur,case_when,,,
CL0323,obt_cpe_contribution_margin_by_segment,obt,distinct_customers,cm.distinct_customers,fact_contribution_margin_by_segment,distinct_customers,direct,,,
CL0324,obt_cpe_contribution_margin_by_segment,obt,billing_doc_count,cm.billing_doc_count,fact_contribution_margin_by_segment,billing_doc_count,direct,,,
CL0325,obt_cpe_contribution_margin_by_segment,obt,avg_margin_per_customer_eur,"CASE
        WHEN cm.distinct_customers > 0
        THEN cm.contribution_margin_eur / cm.distinct_customers
        ELSE NULL
    END",fact_contribution_margin_by_segment,distinct_customers,case_when,,,
CL0326,obt_cpe_contribution_margin_by_segment,obt,contribution_margin_pct,"CASE
        WHEN cm.total_billed_revenue_eur > 0
        THEN ROUND(
            100.0 * cm.contribution_margin_eur / cm.total_billed_revenue_eur,
            2
        )
        ELSE NULL
    END",fact_contribution_margin_by_segment,total_billed_revenue_eur,case_when,,,
CL0327,obt_cpe_lifecycle,obt,equipment_number,e.equipment_number,dim_equipment,equipment_number,direct,,,Equipment master record number (EQUI.EQUNR) — identifies the individual CPE device.
CL0328,obt_cpe_lifecycle,obt,serial_number,e.serial_number,dim_equipment,serial_number,direct,,,Vendor-issued serial number (EQUI.SERNR).
CL0329,obt_cpe_lifecycle,obt,manufacturer,e.manufacturer,dim_equipment,manufacturer,direct,,,Equipment manufacturer (EQUI.HERST).
CL0330,obt_cpe_lifecycle,obt,model_description,e.model_description,dim_equipment,model_description,direct,,,Equipment model / type description (EQUI.TYPBZ).
CL0331,obt_cpe_lifecycle,obt,lifecycle_status,e.lifecycle_status,dim_equipment,lifecycle_status,direct,,,Derived lifecycle state: received / in_warehouse / deployed / returned / disposed.
CL0332,obt_cpe_lifecycle,obt,current_status,e.current_status,dim_equipment,current_status,direct,,,Raw SAP equipment status (EQUI.SWERK family) before lifecycle derivation.
CL0333,obt_cpe_lifecycle,obt,status_since,e.status_since,dim_equipment,status_since,direct,,,Date the current lifecycle status began.
CL0334,obt_cpe_lifecycle,obt,received_date,e.received_date,dim_equipment,received_date,direct,,,Date the equipment was first goods-received into warehouse stock.
CL0335,obt_cpe_lifecycle,obt,startup_date,e.startup_date,dim_equipment,startup_date,direct,,,Equipment startup date (EQUI.INBDT) — when first deployed/activated.
CL0336,obt_cpe_lifecycle,obt,current_plant,e.current_plant,dim_equipment,current_plant,direct,,,Plant code where the equipment currently resides.
CL0337,obt_cpe_lifecycle,obt,days_since_receipt,e.days_since_receipt,dim_equipment,days_since_receipt,direct,,,Days elapsed between received_date and current date. Input to BG003 defect rate.
